tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
1-chalk-5.6.2.tgz,chalk,5.6.2,5.05556991754137,0.23415976633726407,1,0,0,0,0
1000-sindresorhus-is-7.1.0.tgz,@sindresorhus/is,7.1.0,4.919061179620461,0.19374139026519677,0,0,0,0,0
10000-date-now-1.0.1.tgz,date-now,1.0.1,4.491832189837203,0.2969133741171371,0,0,0,0,0
1001-pathval-2.0.1.tgz,pathval,2.0.1,4.8949304513125975,0.1902148676218526,0,1,0,0,0
1015-temp-dir-3.0.0.tgz,temp-dir,3.0.0,4.895850727847424,0.2427215309530471,0,0,0,0,0
1018-smithy-smithy-client-4.9.0.tgz,@smithy/smithy-client,4.9.0,4.605268741111234,0.2470015631685421,4,0,0,0,0
1027-d3-shape-3.2.0.tgz,d3-shape,3.2.0,4.598844156995251,0.21483156876787063,1,0,0,0,0
1032-formidable-3.5.4.tgz,formidable,3.5.4,4.739049973714753,0.1921631110443776,8,1,3,0,0
104-events-3.3.0.tgz,events,3.3.0,4.966631408171897,0.3238685300799124,1,0,0,0,0
1041-is-async-function-2.1.1.tgz,is-async-function,2.1.1,4.835980492223569,0.2912078883613498,0,0,0,0,0
105-babel-types-7.28.4.tgz,@babel/types,7.28.4,4.980798748168525,0.14991653857641113,3,0,0,0,0
1052-get-port-7.1.0.tgz,get-port,7.1.0,4.963494515105443,0.10713395189268211,2,1,0,0,0
1066-universalify-2.0.1.tgz,universalify,2.0.1,4.877845747141186,0.18881406154263225,0,0,0,0,0
1067-jest-reporters-30.2.0.tgz,@jest/reporters,30.2.0,5.207642185321897,0.9133098061282537,1,1,0,0,0
1070-pngjs-7.0.0.tgz,pngjs,7.0.0,4.800620621148487,0.18443106246587807,2,0,6,0,0
1072-types-unist-3.0.3.tgz,@types/unist,3.0.3,4.725774891866116,0.3394200394968632,0,0,0,0,0
1076-fsevents-2.3.3.tgz,fsevents,2.3.3,4.532941904785243,0.8575852875132318,0,0,0,0,0
1078-babel-plugin-transform-class-properties-7.27.1.tgz,@babel/plugin-transform-class-properties,7.27.1,4.914981423018724,0.18553091680514383,0,0,0,0,0
108-next-15.5.6.tgz,next,15.5.6,4.8204839984725805,0.5683568112083882,720,424,322,19,0
1087-trim-newlines-5.0.0.tgz,trim-newlines,5.0.0,4.928626169190066,0.16006236004118002,0,0,0,0,0
1097-sinonjs-fake-timers-15.0.0.tgz,@sinonjs/fake-timers,15.0.0,4.653156924649542,0.40718344711862087,2,0,0,0,0
1098-supertest-7.1.4.tgz,supertest,7.1.4,4.85852142992347,0.1562891476593611,3,2,0,0,0
11-yargs-18.0.0.tgz,yargs,18.0.0,4.682630896261171,0.38262740286879654,1,0,0,0,0
1102-babel-plugin-transform-shorthand-properties-7.27.1.tgz,@babel/plugin-transform-shorthand-properties,7.27.1,4.828058243146453,0.1948499795339658,0,0,0,0,0
1120-proc-log-5.0.0.tgz,proc-log,5.0.0,4.665323970608729,0.2759784356407566,0,0,0,0,0
1125-loupe-3.2.1.tgz,loupe,3.2.1,4.601120317639337,0.3032256808055188,0,0,0,0,0
1126-is-promise-4.0.0.tgz,is-promise,4.0.0,4.7070933099153835,0.2521155860266312,0,0,0,0,0
1139-prettier-linter-helpers-1.0.0.tgz,prettier-linter-helpers,1.0.0,4.528513397021418,0.39660412184035515,0,0,0,0,0
114-picocolors-1.1.1.tgz,picocolors,1.1.1,4.777138186524817,0.34701269501820703,0,0,0,0,0
1146-http-proxy-1.18.1.tgz,http-proxy,1.18.1,4.6889619814305314,0.33531552431764056,8,3,0,0,0
1151-ci-info-4.3.1.tgz,ci-info,4.3.1,4.839031316754803,0.28951097765018824,0,0,0,0,0
