tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
3217-perfect-scrollbar-1.5.6.tgz,perfect-scrollbar,1.5.6,4.815536397762434,0.20814492896546502,0,0,0,0,0
3219-graphql-tools-relay-operation-optimizer-7.0.21.tgz,@graphql-tools/relay-operation-optimizer,7.0.21,4.617190360714284,0.4243918539375835,0,0,0,0,0
322-loose-envify-1.4.0.tgz,loose-envify,1.4.0,4.822324841306368,0.20909193539419993,0,1,0,0,0
3220-lodash.template-4.5.0.tgz,lodash.template,4.5.0,4.97400375259973,0.11212685342507399,0,0,0,0,0
3221-d3-polygon-3.0.1.tgz,d3-polygon,3.0.1,4.682015686423436,0.3717088397470397,0,0,0,0,0
3222-sweetalert2-11.26.3.tgz,sweetalert2,11.26.3,4.859583037432338,0.2165858442963884,11,0,0,9,0
3223-zwitch-2.0.4.tgz,zwitch,2.0.4,4.914729204998128,0.18411866312804218,0,0,0,0,0
3224-ylru-2.0.0.tgz,ylru,2.0.0,4.730392165701131,0.5600232528332241,1,0,0,0,0
3225-nolyfill-is-core-module-1.0.39.tgz,@nolyfill/is-core-module,1.0.39,4.705111757422534,0.2724171773570948,0,0,0,0,0
3226-opentelemetry-instrumentation-fastify-0.51.0.tgz,@opentelemetry/instrumentation-fastify,0.51.0,4.96450661579657,0.21520936894704706,0,0,0,0,0
3227-byline-5.0.0.tgz,byline,5.0.0,4.960145078756577,0.17291298059593757,1,0,0,0,0
3228-pulumi-pulumi-3.203.0.tgz,@pulumi/pulumi,3.203.0,4.534459004356157,0.5244766464511889,76,12,16,0,0
3229-sindresorhus-slugify-3.0.0.tgz,@sindresorhus/slugify,3.0.0,5.020065640329489,0.20362193590599129,0,0,0,0,0
3230-heroicons-react-2.2.0.tgz,@heroicons/react,2.2.0,5.04472360447781,0.14574534951245008,0,0,0,0,0
3231-opentelemetry-propagator-jaeger-2.1.0.tgz,@opentelemetry/propagator-jaeger,2.1.0,4.992937082327185,0.1672522071498763,0,0,3,0,0
3232-prosemirror-history-1.4.1.tgz,prosemirror-history,1.4.1,4.685217900317878,0.2320435954458249,1,0,0,0,0
3233-rc-input-number-9.5.0.tgz,rc-input-number,9.5.0,4.729427127614739,0.2205148535021897,0,0,0,0,0
3234-redux-persist-6.0.0.tgz,redux-persist,6.0.0,4.676200842777342,0.20778128691275077,12,0,0,0,0
3235-ramda-adjunct-5.1.0.tgz,ramda-adjunct,5.1.0,5.038223159039697,0.1509869062864683,7,0,0,0,0
3237-electron-38.3.0.tgz,electron,38.3.0,4.891150244409006,0.2296188343437006,1,4,0,0,1
3238-expand-tilde-2.0.2.tgz,expand-tilde,2.0.2,4.928568170393931,0.23939894511700038,1,0,0,0,0
324-esrecurse-4.3.0.tgz,esrecurse,4.3.0,4.705486982557594,0.5049255330839341,0,0,0,0,0
3240-graphql-codegen-add-6.0.0.tgz,@graphql-codegen/add,6.0.0,4.672121893360232,0.39796697953785337,0,0,0,0,0
3241-rc-field-form-2.7.0.tgz,rc-field-form,2.7.0,4.71167589068908,0.3421271073213771,15,0,0,0,0
3243-swagger2openapi-7.0.8.tgz,swagger2openapi,7.0.8,4.720810756127944,0.2791025051436777,3,5,1,0,0
3244-has-own-prop-3.1.0.tgz,has-own-prop,3.1.0,4.963531529703727,0.18850797421277085,0,0,0,0,0
3246-postcss-nesting-13.0.2.tgz,postcss-nesting,13.0.2,5.009854820748264,0.11325942716757613,0,0,0,0,0
3247-jsdoc-type-pratt-parser-6.11.0.tgz,jsdoc-type-pratt-parser,6.11.0,4.60123789785951,0.19532491924498688,29,3,0,0,0
3248-timers-ext-0.1.8.tgz,timers-ext,0.1.8,4.844859722768619,0.3056942630879117,0,0,0,0,0
3249-types-superagent-8.1.9.tgz,@types/superagent,8.1.9,4.6714571890101455,0.2531203038150544,5,4,0,0,0
325-word-wrap-1.2.5.tgz,word-wrap,1.2.5,4.803751797362353,0.407271141226236,0,0,0,0,0
3250-d3-random-3.0.1.tgz,d3-random,3.0.1,4.657519011329608,0.2103419384168033,0,0,0,0,0
3251-react-native-normalize-colors-0.82.1.tgz,@react-native/normalize-colors,0.82.1,4.893789062517436,0.02957728520014561,0,0,0,0,0
3252-wry-equality-0.5.7.tgz,@wry/equality,0.5.7,4.534950724997242,0.33080769717849606,5,0,0,0,0
3253-babel-types-6.26.0.tgz,babel-types,6.26.0,4.835522442973513,0.3698611754070426,0,0,0,0,0
3254-parse-glob-3.0.4.tgz,parse-glob,3.0.4,4.913038317935324,0.21427654891099535,0,0,0,0,0
3255-browserify-cipher-1.0.1.tgz,browserify-cipher,1.0.1,4.671803690014341,0.2808805896032767,1,0,2,0,0
3256-bufbuild-protobuf-2.10.0.tgz,@bufbuild/protobuf,2.10.0,4.841534303773579,0.30837596629097375,4,0,2,0,0
3257-types-nodemailer-6.4.20.tgz,@types/nodemailer,6.4.20,4.686540968667718,0.14536232424047357,10,5,0,0,0
3258-d3-contour-4.0.2.tgz,d3-contour,4.0.2,4.606945783286662,0.41978320147949094,0,0,0,0,0
3259-ckeditor-ckeditor5-paragraph-47.1.0.tgz,@ckeditor/ckeditor5-paragraph,47.1.0,4.772096046569524,0.15733397978715832,3,0,0,0,0
326-supports-preserve-symlinks-flag-1.0.0.tgz,supports-preserve-symlinks-flag,1.0.0,4.785338940365865,0.34445758603267584,0,0,0,0,0
3260-regex-cache-0.4.4.tgz,regex-cache,0.4.4,4.968901716103639,0.18485801902845472,0,0,0,0,0
3261-tsconfck-3.1.6.tgz,tsconfck,3.1.6,4.9830739750450945,0.16222873354186146,1,1,0,0,0
3262-infer-owner-1.0.4.tgz,infer-owner,1.0.4,4.74904119179694,0.16462292955327354,0,1,0,0,0
3263-babel-plugin-syntax-dynamic-import-6.18.0.tgz,babel-plugin-syntax-dynamic-import,6.18.0,4.554294299189806,0.47484193609583425,0,0,0,0,0
3264-tiptap-starter-kit-3.7.2.tgz,@tiptap/starter-kit,3.7.2,4.792414690591158,0.25623200768629145,0,0,0,0,0
3266-tiptap-extension-link-3.7.2.tgz,@tiptap/extension-link,3.7.2,4.754482393478418,0.30812975277780535,6,0,0,0,0
3267-svgr-babel-plugin-transform-react-native-svg-8.1.0.tgz,@svgr/babel-plugin-transform-react-native-svg,8.1.0,4.790845614833666,0.13396420756362126,0,0,0,0,0
3268-lodash.isundefined-3.0.1.tgz,lodash.isundefined,3.0.1,5.0774682803265225,0.08680518125752011,0,0,0,0,0
3269-antfu-utils-9.3.0.tgz,@antfu/utils,9.3.0,5.014993265936187,0.18175624870671403,1,0,0,0,0
327-acorn-jsx-5.3.2.tgz,acorn-jsx,5.3.2,4.780328002449774,0.2068306997892761,2,0,0,0,0
3270-ip-regex-5.0.0.tgz,ip-regex,5.0.0,5.120745966236995,0.14206967240691742,0,0,0,0,0
3272-pretty-hrtime-1.0.3.tgz,pretty-hrtime,1.0.3,4.72081137199251,0.6092978830180373,0,0,0,0,0
3273-nrwl-devkit-19.8.4.tgz,@nrwl/devkit,19.8.4,4.720013970314994,0.31610226286442167,0,0,0,0,0
3274-mdast-util-mdx-jsx-3.2.0.tgz,mdast-util-mdx-jsx,3.2.0,4.802844925100585,0.2221954155272502,2,0,0,0,0
3275-npmcli-redact-3.2.2.tgz,@npmcli/redact,3.2.2,4.920741275050951,0.297992190793327,4,1,1,0,0
3276-react-native-vector-icons-10.3.0.tgz,react-native-vector-icons,10.3.0,4.927845102318894,0.5451517410940214,45,9,1,0,0
3277-types-graceful-fs-4.1.9.tgz,@types/graceful-fs,4.1.9,4.807757901414114,0.17126062827572944,0,0,0,0,0
3278-evp_bytestokey-1.0.3.tgz,evp_bytestokey,1.0.3,5.055287696382617,0.24681736690920592,2,0,1,0,0
3279-commitizen-4.3.1.tgz,commitizen,4.3.1,4.462791312239478,0.43909560367524664,1,13,0,18,0
3281-rc-rate-2.13.1.tgz,rc-rate,2.13.1,4.6937448560308725,0.30762338708049186,0,0,0,0,0
3282-semantic-release-github-12.0.0.tgz,@semantic-release/github,12.0.0,4.757871185281688,0.29498508574029847,6,0,0,0,0
3283-mdast-util-mdx-expression-2.0.1.tgz,mdast-util-mdx-expression,2.0.1,4.842244935358705,0.17544366276161039,1,0,0,0,0
3285-aws-sdk-util-format-url-3.910.0.tgz,@aws-sdk/util-format-url,3.910.0,4.721626333820998,0.13513744720751056,2,0,0,0,0
3287-prettyjson-1.2.5.tgz,prettyjson,1.2.5,4.8900361868310664,0.266768772884573,1,0,0,0,0
3288-ioredis-commands-1.4.0.tgz,@ioredis/commands,1.4.0,4.546102183678152,0.5929987925113305,2,0,0,0,0
3289-firebase-database-1.1.0.tgz,@firebase/database,1.1.0,4.839797234813693,0.15885958230704034,50,0,5,0,0
329-source-map-js-1.2.1.tgz,source-map-js,1.2.1,4.779691329809207,0.32495569595912954,4,0,0,1,0
3290-babel-preset-env-1.7.0.tgz,babel-preset-env,1.7.0,4.771139727327013,0.2892657759249253,2,0,0,0,0
3291-npmcli-map-workspaces-5.0.0.tgz,@npmcli/map-workspaces,5.0.0,4.916592438837242,0.19412001848296584,0,0,0,0,0
3292-universal-cookie-8.0.1.tgz,universal-cookie,8.0.1,4.648991673404881,0.26227796816587007,15,0,2,0,0
3293-tsconfig-7.0.0.tgz,tsconfig,7.0.0,3.8729304654316588,1.4928981575843272,1,1,0,0,0
3294-lodash.isarguments-3.1.0.tgz,lodash.isarguments,3.1.0,5.029305641412329,0.09172772752859244,0,0,0,0,0
3296-radix-ui-react-menu-2.1.16.tgz,@radix-ui/react-menu,2.1.16,4.890159633423527,0.23929421878770812,0,0,0,0,0
3297-graphql-tools-code-file-loader-8.1.22.tgz,@graphql-tools/code-file-loader,8.1.22,4.71697044997558,0.3245323932709282,0,2,0,0,0
3299-slick-carousel-1.8.1.tgz,slick-carousel,1.8.1,4.7299241987912435,0.8483032887100155,0,0,0,0,0
33-eslint-9.38.0.tgz,eslint,9.38.0,4.866490803172858,0.21535266772519762,111,18,1,0,0
330-combined-stream-1.0.8.tgz,combined-stream,1.0.8,4.949235329707728,0.2485012681149678,0,0,0,0,0
3301-base-64-1.0.0.tgz,base-64,1.0.0,5.156522430791686,0.1217786755983065,0,0,0,0,0
3302-whatwg-node-node-fetch-0.8.1.tgz,@whatwg-node/node-fetch,0.8.1,4.563432219676433,0.36731118362582144,6,0,7,0,0
3303-react-table-7.8.0.tgz,react-table,7.8.0,4.674532214790873,0.21150129005506457,7,0,0,0,0
3304-tinyglobby-0.2.15.tgz,tinyglobby,0.2.15,5.027275881502705,0.1911863586990269,2,0,0,0,0
3305-react-confetti-6.4.0.tgz,react-confetti,6.4.0,4.524550814822478,0.642131196943448,0,0,0,0,0
3306-storybook-addon-highlight-8.6.14.tgz,@storybook/addon-highlight,8.6.14,4.885288083391903,0.7077891755178249,0,0,0,0,0
3308-flow-enums-runtime-0.0.6.tgz,flow-enums-runtime,0.0.6,4.822678466418137,0.17391108863022864,0,0,0,0,0
331-vite-7.1.11.tgz,vite,7.1.11,4.8762465653461335,0.4315668167339209,8,4,4,1,0
3311-lodash.isnil-4.0.0.tgz,lodash.isnil,4.0.0,5.041004147318706,0.12680914940873178,0,0,0,0,0
3312-codemirror-commands-6.9.0.tgz,@codemirror/commands,6.9.0,4.853718266002529,0.2462463597274272,5,0,0,0,0
