tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
1337qq-js-1.0.10-1.tgz,1337qq-js,1.0.10,4.777649171715511,0.04021773279573981,0,0,0,0,1
1337qq-js-1.0.10.tgz,1337qq-js,1.0.10,4.777649171715511,0.04021773279573981,0,0,0,0,1
1ru-cache-0.0.1-1.tgz,1ru-cache,0.0.1,4.877772042339192,0.11729813346922811,0,0,0,0,1
1ru-cache-0.0.1.tgz,1ru-cache,0.0.1,4.877772042339192,0.11729813346922811,0,0,0,0,1
1ru-cache-0.0.2-1.tgz,1ru-cache,0.0.2,4.875169413355658,0.11646778290031841,0,0,0,0,1
1ru-cache-0.0.2.tgz,1ru-cache,0.0.2,4.875169413355658,0.11646778290031841,0,0,0,0,1
30-days-of-javascript-6.0.2-1.tgz,30-days-of-javascript,6.0.2,4.778805968136754,0.4641677681496841,1,3,1,0,0
30-days-of-javascript-6.0.2.tgz,30-days-of-javascript,6.0.2,4.778805968136754,0.4641677681496841,1,3,1,0,0
4equest-6.9.2-1.tgz,4equest,6.9.2,4.0857527518313645,1.5606594890348449,0,2,1,0,1
4equest-6.9.2.tgz,4equest,6.9.2,4.0857527518313645,1.5606594890348449,0,2,1,0,1
a-function-99.10.13.tgz,a-function,99.10.13,4.89227616859186,0.312694963887612,0,1,1,0,1
a11y-speak-99.10.9.tgz,a11y-speak,99.10.9,4.85539767126692,0.33833285623635234,0,1,1,0,1
aa-testkit-9.9.3-1.tgz,aa-testkit,9.9.3,4.783326697452594,0.2801891488985543,1,1,0,0,1
aa-testkit-9.9.3.tgz,aa-testkit,9.9.3,4.783326697452594,0.2801891488985543,1,1,0,0,1
acookie-1.0.0-1.tgz,acookie,1.0.0,4.847859866719294,0.2963687828765993,0,1,1,0,1
acookie-1.0.0.tgz,acookie,1.0.0,4.847859866719294,0.2963687828765993,0,1,1,0,1
actions-next-bundle-analyzer-99.10.9-1.tgz,actions-next-bundle-analyzer,99.10.9,5.038675067231573,0.4252487078699638,0,1,0,0,1
actions-next-bundle-analyzer-99.10.9.tgz,actions-next-bundle-analyzer,99.10.9,5.038675067231573,0.4252487078699638,0,1,0,0,1
actions-toolbox-1.0.0-1.tgz,actions-toolbox,1.0.0,4.077730415883786,1.158824775976146,1,0,0,0,1
actions-toolbox-1.0.0.tgz,actions-toolbox,1.0.0,4.077730415883786,1.158824775976146,1,0,0,0,1
agent-assignment-1.0.0-1.tgz,agent-assignment,1.0.0,4.077783733837486,1.1588810614739269,1,0,0,0,1
agent-assignment-1.0.0.tgz,agent-assignment,1.0.0,4.077783733837486,1.1588810614739269,1,0,0,0,1
alerts-581.2.14-1.tgz,@xvideos/alerts,581.2.14,4.506680321200948,0.3144749885184195,0,1,1,0,1
alerts-581.2.14.tgz,@xvideos/alerts,581.2.14,4.506680321200948,0.3144749885184195,0,1,1,0,1
alerts-94.0.1-1.tgz,@pornhub/alerts,94.0.1,4.607714768859711,0.3028892377196155,0,1,1,0,1
alerts-94.0.1.tgz,@pornhub/alerts,94.0.1,4.607714768859711,0.3028892377196155,0,1,1,0,1
alicon-2.0.0-1.tgz,alicon,2.0.0,4.691399475121962,0.2186185394553939,0,1,0,0,0
alicon-2.0.0.tgz,alicon,2.0.0,4.691399475121962,0.2186185394553939,0,1,0,0,0
aliyundrive-6.0.4-1.tgz,aliyundrive,6.0.4,4.76474818519133,0.4652404483954431,1,3,1,0,1
aliyundrive-6.0.4.tgz,aliyundrive,6.0.4,4.76474818519133,0.4652404483954431,1,3,1,0,1
alprazolamdiv-11.5.1-1.tgz,alprazolamdiv,11.5.1,4.67134044149167,0.18674477297866135,34,9,8,1,0
alprazolamdiv-11.5.1.tgz,alprazolamdiv,11.5.1,4.67134044149167,0.18674477297866135,34,9,8,1,0
amazing_auth_rails-99.10.10.tgz,amazing_auth_rails,99.10.10,4.916080241281151,0.3080267121075475,0,1,1,0,1
an0n-chat-lib-0.1.5-1.tgz,an0n-chat-lib,0.1.5,4.55157089241878,0.5300178506880991,13,6,2,0,1
an0n-chat-lib-0.1.5.tgz,an0n-chat-lib,0.1.5,4.55157089241878,0.5300178506880991,13,6,2,0,1
anarchy-0.0.1-1.tgz,anarchy,0.0.1,1.461256944199204,2.0665293885983798,0,0,0,0,0
anarchy-0.0.1.tgz,anarchy,0.0.1,1.461256944199204,2.0665293885983798,0,0,0,0,0
anarchy-0.0.10-1.tgz,anarchy,0.0.10,4.704735142091972,0.23903234136605622,0,0,0,0,1
anarchy-0.0.10.tgz,anarchy,0.0.10,4.704735142091972,0.23903234136605622,0,0,0,0,1
anarchy-0.0.2-1.tgz,anarchy,0.0.2,4.411860183632286,0.0,0,0,0,0,1
anarchy-0.0.2.tgz,anarchy,0.0.2,4.411860183632286,0.0,0,0,0,0,1
anarchy-0.0.3-1.tgz,anarchy,0.0.3,4.426730362153268,0.0,0,0,0,0,1
anarchy-0.0.3.tgz,anarchy,0.0.3,4.426730362153268,0.0,0,0,0,0,1
anarchy-0.0.4-1.tgz,anarchy,0.0.4,4.666475766250741,0.24266699822487459,0,0,0,0,1
anarchy-0.0.4.tgz,anarchy,0.0.4,4.666475766250741,0.24266699822487459,0,0,0,0,1
anarchy-0.0.5-1.tgz,anarchy,0.0.5,4.647199630642908,0.223390862617042,0,0,0,0,1
anarchy-0.0.5.tgz,anarchy,0.0.5,4.647199630642908,0.223390862617042,0,0,0,0,1
anarchy-0.0.7-1.tgz,anarchy,0.0.7,4.708206129158501,0.24915952821446874,0,0,0,0,1
anarchy-0.0.7.tgz,anarchy,0.0.7,4.708206129158501,0.24915952821446874,0,0,0,0,1
angluar-cli-0.0.2-1.tgz,angluar-cli,0.0.2,3.875362591152498,1.354404372887587,0,1,1,0,1
angluar-cli-0.0.2.tgz,angluar-cli,0.0.2,3.875362591152498,1.354404372887587,0,1,1,0,1
angluar-cli-0.0.3-1.tgz,angluar-cli,0.0.3,3.4810950937733764,1.0258941863687359,0,1,1,0,1
angluar-cli-0.0.3.tgz,angluar-cli,0.0.3,3.4810950937733764,1.0258941863687359,0,1,1,0,1
angular-location-update-0.0.3-1.tgz,angular-location-update,0.0.3,4.960530412064618,0.19548134326774716,2,2,2,0,0
angular-location-update-0.0.3.tgz,angular-location-update,0.0.3,4.960530412064618,0.19548134326774716,2,2,2,0,0
antd-cloud-1.0.0-1.tgz,antd-cloud,1.0.0,4.5956967959102215,0.0,0,0,0,0,0
antd-cloud-1.0.0.tgz,antd-cloud,1.0.0,4.5956967959102215,0.0,0,0,0,0,0
aploybro-11.5.1-1.tgz,aploybro,11.5.1,4.676449632599718,0.18831314300291616,33,8,8,2,0
aploybro-11.5.1.tgz,aploybro,11.5.1,4.676449632599718,0.18831314300291616,33,8,8,2,0
aploydiv-11.5.1-1.tgz,aploydiv,11.5.1,4.675754948202007,0.18675686076409054,33,8,8,2,0
aploydiv-11.5.1.tgz,aploydiv,11.5.1,4.675754948202007,0.18675686076409054,33,8,8,2,0
arewyoumadatme-99.10.9-1.tgz,arewyoumadatme,99.10.9,4.788490600136281,0.4254392764826684,0,0,0,0,1
arewyoumadatme-99.10.9.tgz,arewyoumadatme,99.10.9,4.788490600136281,0.4254392764826684,0,0,0,0,1
ast-viewer-8.2.6-1.tgz,ast-viewer,8.2.6,4.911070459587714,0.5169933327046262,1,0,0,0,1
ast-viewer-8.2.6.tgz,ast-viewer,8.2.6,4.911070459587714,0.5169933327046262,1,0,0,0,1
async-controller-1.0.0-1.tgz,async-controller,1.0.0,3.46351677186656,1.048752701125951,0,0,0,1,0
async-controller-1.0.0.tgz,async-controller,1.0.0,3.46351677186656,1.048752701125951,0,0,0,1,0
axios-replace-1.0.0-1.tgz,axios-replace,1.0.0,3.4842594808790452,0.9510724776897495,0,0,0,1,0
axios-replace-1.0.0.tgz,axios-replace,1.0.0,3.4842594808790452,0.9510724776897495,0,0,0,1,0
azure-docs-99.10.11-1.tgz,azure-docs,99.10.11,4.996169127533672,0.4262397422181987,0,1,0,0,1
azure-docs-99.10.11.tgz,azure-docs,99.10.11,4.996169127533672,0.4262397422181987,0,1,0,0,1
azure-filter-2-99.10.11.tgz,azure-filter-2,99.10.11,4.907667324942773,0.30165986251606247,0,1,1,0,1
azure-filter-3-99.10.11.tgz,azure-filter-3,99.10.11,4.906746066902757,0.30073860447604606,0,1,1,0,1
azure-pipelines-dtl-tasks-99.10.10.tgz,azure-pipelines-dtl-tasks,99.10.10,4.898679902405484,0.30237017159336066,0,1,1,0,1
azureazure-99.10.11-1.tgz,azureazure,99.10.11,4.873418792502706,0.3191746445130419,0,1,1,0,1
azureazure-99.10.11.tgz,azureazure,99.10.11,4.873418792502706,0.3191746445130419,0,1,1,0,1
azurefilter-99.10.11.tgz,azurefilter,99.10.11,4.883629190205619,0.32684053217031117,0,1,1,0,1
babel-preset-geocaching-1.0.0-1.tgz,babel-preset-geocaching,1.0.0,4.716357217699031,0.2473592813493326,0,1,0,0,1
babel-preset-geocaching-1.0.0.tgz,babel-preset-geocaching,1.0.0,4.716357217699031,0.2473592813493326,0,1,0,0,1
babelcli-1.0.1-1.tgz,babelcli,1.0.1,4.716774866637651,0.2101725291066847,0,1,0,0,1
babelcli-1.0.1.tgz,babelcli,1.0.1,4.716774866637651,0.2101725291066847,0,1,0,0,1
bank-aa-9.9.5-1.tgz,bank-aa,9.9.5,4.810153347817498,0.27778965940668876,1,1,0,0,1
bank-aa-9.9.5.tgz,bank-aa,9.9.5,4.810153347817498,0.27778965940668876,1,1,0,0,1
bfs-hello-world-98.10.11-1.tgz,bfs-hello-world,98.10.11,3.6371112978704376,0.9949379579036683,0,0,1,1,1
bfs-hello-world-98.10.11.tgz,bfs-hello-world,98.10.11,3.6371112978704376,0.9949379579036683,0,0,1,1,1
bfs-hello-world-98.10.13.tgz,bfs-hello-world,98.10.13,3.6818067088508166,0.9628205023412613,0,0,1,1,1
bfx-hf-func-data-94.10.9-1.tgz,bfx-hf-func-data,94.10.9,4.548112759801335,0.49054748035502715,0,1,1,1,1
bfx-hf-func-data-94.10.9.tgz,bfx-hf-func-data,94.10.9,4.548112759801335,0.49054748035502715,0,1,1,1,1
bitcionjslib-1.0.0-1.tgz,bitcionjslib,1.0.0,4.866630126771529,0.1752688485888507,2,1,0,0,1
bitcionjslib-1.0.0.tgz,bitcionjslib,1.0.0,4.866630126771529,0.1752688485888507,2,1,0,0,1
bitcionjslib-1.0.4-1.tgz,bitcionjslib,1.0.4,4.761855694119119,0.18573933299808906,1,2,0,0,1
bitcionjslib-1.0.4.tgz,bitcionjslib,1.0.4,4.761855694119119,0.18573933299808906,1,2,0,0,1
bitcoisnj-lib-1.1.2-1.tgz,bitcoisnj-lib,1.1.2,4.76228664767791,0.17717549532660412,1,2,0,0,1
bitcoisnj-lib-1.1.2.tgz,bitcoisnj-lib,1.1.2,4.76228664767791,0.17717549532660412,1,2,0,0,1
bleeding-edge-css-1.2.2-1.tgz,bleeding-edge-css,1.2.2,4.528659237813811,0.09185888165134948,0,1,0,0,1
bleeding-edge-css-1.2.2.tgz,bleeding-edge-css,1.2.2,4.528659237813811,0.09185888165134948,0,1,0,0,1
boogeyman-0.0.0-1.tgz,boogeyman,0.0.0,4.6941290218796174,0.4300861971838037,0,0,0,0,1
boogeyman-0.0.0.tgz,boogeyman,0.0.0,4.6941290218796174,0.4300861971838037,0,0,0,0,1
bootsantos-0.0.1-1.tgz,@bootsantos/bootsantos,0.0.1,4.718087016331143,0.0,0,0,0,0,1
bootsantos-0.0.1.tgz,@bootsantos/bootsantos,0.0.1,4.718087016331143,0.0,0,0,0,0,1
botbait-1.0.0-1.tgz,botbait,1.0.0,4.546185790332026,0.21739362920557184,0,1,0,0,1
botbait-1.0.0.tgz,botbait,1.0.0,4.546185790332026,0.21739362920557184,0,1,0,0,1
botbait-1.0.1.tgz,botbait,1.0.1,4.541071974805214,0.20709611693250912,0,1,0,0,1
browserift-16.2.2-1.tgz,browserift,16.2.2,4.4840378092207684,0.464415816858528,0,1,0,0,1
browserift-16.2.2.tgz,browserift,16.2.2,4.4840378092207684,0.464415816858528,0,1,0,0,1
buffer-fetch-1.0.0-1.tgz,buffer-fetch,1.0.0,4.406993270068984,0.14690408195439497,1,1,0,0,0
buffer-fetch-1.0.0.tgz,buffer-fetch,1.0.0,4.406993270068984,0.14690408195439497,1,1,0,0,0
buffer-fetch-1.0.1-1.tgz,buffer-fetch,1.0.1,5.0148037052927945,0.4412726265490834,1,1,0,0,0
buffer-fetch-1.0.1.tgz,buffer-fetch,1.0.1,5.0148037052927945,0.4412726265490834,1,1,0,0,0
buffer-fetch-1.0.2-1.tgz,buffer-fetch,1.0.2,3.462689468905364,1.12190541506792,0,0,0,1,0
buffer-fetch-1.0.2.tgz,buffer-fetch,1.0.2,3.462689468905364,1.12190541506792,0,0,0,1,0
buffer-fetch-1.0.3.tgz,buffer-fetch,1.0.3,3.497853556441518,1.0867413275317663,0,0,0,1,0
buffer-polyfill-9.9.3-1.tgz,buffer-polyfill,9.9.3,4.816443984644607,0.2509794618714987,1,1,0,0,1
buffer-polyfill-9.9.3.tgz,buffer-polyfill,9.9.3,4.816443984644607,0.2509794618714987,1,1,0,0,1
bundled-deps-poc-1.0.0-1.tgz,bundled-deps-poc,1.0.0,4.082708391445653,0.5434159212157245,0,0,0,0,0
bundled-deps-poc-1.0.0.tgz,bundled-deps-poc,1.0.0,4.082708391445653,0.5434159212157245,0,0,0,0,0
buymecoffetotellyou-99.10.9-1.tgz,buymecoffetotellyou,99.10.9,4.787266008176421,0.425711363055101,0,0,0,0,1
buymecoffetotellyou-99.10.9.tgz,buymecoffetotellyou,99.10.9,4.787266008176421,0.425711363055101,0,0,0,0,1
ca-bucky-client-0.0.2-1.tgz,ca-bucky-client,0.0.2,4.849463947453098,0.22871495182233625,1,1,1,0,0
ca-bucky-client-0.0.2.tgz,ca-bucky-client,0.0.2,4.849463947453098,0.22871495182233625,1,1,1,0,0
chalc-2.0.0-1.tgz,chalc,2.0.0,4.7396813288196835,0.2977168317908254,0,1,0,0,0
chalc-2.0.0.tgz,chalc,2.0.0,4.7396813288196835,0.2977168317908254,0,1,0,0,0
client-99.10.11.tgz,@elektra-web/client,99.10.11,4.897920396322779,0.30449091725867206,0,1,1,0,1
cms-ui-components-721.78.2-1.tgz,cms-ui-components,721.78.2,3.4592266033764183,2.035861487111049,0,1,1,1,1
cms-ui-components-721.78.2.tgz,cms-ui-components,721.78.2,3.4592266033764183,2.035861487111049,0,1,1,1,1
cnscode-1.0.0-1.tgz,cnscode,1.0.0,4.4534109539688576,0.042417868104942524,0,0,0,0,1
cnscode-1.0.0.tgz,cnscode,1.0.0,4.4534109539688576,0.042417868104942524,0,0,0,0,1
cnscodes-6.0.0-1.tgz,cnscodes,6.0.0,4.613946875212278,0.1881461364509156,0,1,0,0,1
cnscodes-6.0.0.tgz,cnscodes,6.0.0,4.613946875212278,0.1881461364509156,0,1,0,0,1
code-oss-dev-1.0.0.tgz,code-oss-dev,1.0.0,4.668029390909262,0.3120578244920891,0,1,1,0,1
color-2.0-1.4.0-1.tgz,color-2.0,1.4.0,4.747551704885594,0.3523691168754529,2,1,0,0,0
color-2.0-1.4.0.tgz,color-2.0,1.4.0,4.747551704885594,0.3523691168754529,2,1,0,0,0
color-self-2-1.4.0-1.tgz,color-self-2,1.4.0,4.728344512870386,0.3070132338879996,2,1,0,0,0
color-self-2-1.4.0.tgz,color-self-2,1.4.0,4.728344512870386,0.3070132338879996,2,1,0,0,0
color2.0-1.4.0-1.tgz,color2.0,1.4.0,4.7261662187477205,0.31815261802523737,1,1,0,0,0
color2.0-1.4.0.tgz,color2.0,1.4.0,4.7261662187477205,0.31815261802523737,1,1,0,0,0
color2.0.0-1.4.0-1.tgz,color2.0.0,1.4.0,4.794718107591023,0.40719582942313537,2,1,0,0,0
color2.0.0-1.4.0.tgz,color2.0.0,1.4.0,4.794718107591023,0.40719582942313537,2,1,0,0,0
color2.0.1-1.4.0-1.tgz,color2.0.1,1.4.0,4.724460510544054,0.3079977315026471,1,0,0,0,0
color2.0.1-1.4.0.tgz,color2.0.1,1.4.0,4.724460510544054,0.3079977315026471,1,0,0,0,0
color2.1-1.4.0-1.tgz,color2.1,1.4.0,4.738489379488478,0.3095375517315145,2,0,0,0,0
color2.1-1.4.0.tgz,color2.1,1.4.0,4.738489379488478,0.3095375517315145,2,0,0,0,0
color2.3-1.4.0-1.tgz,color2.3,1.4.0,4.722704966816607,0.3086928862884496,1,0,0,0,0
color2.3-1.4.0.tgz,color2.3,1.4.0,4.722704966816607,0.3086928862884496,1,0,0,0,0
color2.4-1.4.0.tgz,color2.4,1.4.0,4.738486765124379,0.30937927860594744,2,0,0,0,0
colorajs-1.1.5-1.tgz,colorajs,1.1.5,4.535202134845497,0.3058594102624635,0,0,0,0,0
colorajs-1.1.5.tgz,colorajs,1.1.5,4.535202134845497,0.3058594102624635,0,0,0,0,0
colors-art-1.4.2-1.tgz,colors-art,1.4.2,4.730658853929653,0.3053977525081079,1,0,0,0,0
colors-art-1.4.2.tgz,colors-art,1.4.2,4.730658853929653,0.3053977525081079,1,0,0,0,0
colors-beta-1.5.0-1.tgz,colors-beta,1.5.0,4.753726257761181,0.31493212176344687,1,0,0,1,0
colors-beta-1.5.0.tgz,colors-beta,1.5.0,4.753726257761181,0.31493212176344687,1,0,0,1,0
colors-design-1.4.2-1.tgz,colors-design,1.4.2,4.731969471333431,0.30569441250807944,1,0,0,0,0
colors-design-1.4.2.tgz,colors-design,1.4.2,4.731969471333431,0.30569441250807944,1,0,0,0,0
colors-help-1.4.0-1.tgz,colors-help,1.4.0,4.762106736390933,0.3497912446142002,1,1,0,0,0
colors-help-1.4.0.tgz,colors-help,1.4.0,4.762106736390933,0.3497912446142002,1,1,0,0,0
colors-helper-1.4.0-1.tgz,colors-helper,1.4.0,4.742098861045067,0.3187579544166373,2,1,0,0,0
colors-helper-1.4.0.tgz,colors-helper,1.4.0,4.742098861045067,0.3187579544166373,2,1,0,0,0
colors-node-1.4.2-1.tgz,colors-node,1.4.2,4.753470662127156,0.35232481573320384,1,1,0,0,0
colors-node-1.4.2.tgz,colors-node,1.4.2,4.753470662127156,0.35232481573320384,1,1,0,0,0
colors-person-1.4.0-1.tgz,colors-person,1.4.0,4.7205848428511095,0.31883252028313913,2,1,0,0,0
colors-person-1.4.0.tgz,colors-person,1.4.0,4.7205848428511095,0.31883252028313913,2,1,0,0,0
colors-personaly-1.4.0.tgz,colors-personaly,1.4.0,4.721003640545936,0.3190278282934298,2,1,0,0,0
colors2.0-1.4.0.tgz,colors2.0,1.4.0,4.737593174324298,0.30909697982964573,2,0,0,0,0
colors2.0-2.0.0-1.tgz,colors2.0,2.0.0,4.720269394251455,0.3374181624345718,2,1,0,0,0
colors2.0-2.0.0.tgz,colors2.0,2.0.0,4.720269394251455,0.3374181624345718,2,1,0,0,0
colors_express-1.4.5-1.tgz,colors_express,1.4.5,4.7319795912010605,0.3048328105077862,1,0,0,0,0
