tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
bookmark-finder-extension-eslint-config-1.1.3.tgz,bookmark-finder-extension-eslint-config,1.1.3,5.100952522361405,0.48437181120784467,0,0,0,0,0
ez-component-0.0.2.tgz,@jamesbattye-dev/ez-component,0.0.2,5.0281762169633595,0.10475110263027135,0,0,0,0,0
hotserve-0.1.0.tgz,@mariozechner/hotserve,0.1.0,4.690822005750079,0.5003172058148835,0,1,0,0,0
sdk-1.0.0.tgz,@rasadov/sdk,1.0.0,4.871248641625895,0.31369756411800076,20,10,2,0,0
contentstudio-mcp-1.0.1.tgz,contentstudio-mcp,1.0.1,4.657295065373976,0.32175697043185786,6,1,4,0,0
efo-nelfo-1.0.0.tgz,@aptly-as/efo-nelfo,1.0.0,4.342798502495294,2.2994559302492865,0,0,0,0,0
feed-parser-0.1.0-alpha.1.tgz,@appread/feed-parser,0.1.0-alpha.1,4.764991589272529,0.1022873729571163,0,0,0,0,0
fetchuri-0.0.1.tgz,fetchuri,0.0.1,4.81035500871864,0.28471822158666843,1,3,1,0,0
md-to-pdf-converter-1.0.1.tgz,md-to-pdf-converter,1.0.1,4.988201404890022,0.18423331575842797,1,0,0,0,0
plugin-catalog-creator-0.1.0.tgz,@kartverket/plugin-catalog-creator,0.1.0,4.664989743969498,0.10085749147403389,0,0,0,0,0
scw-connector-0.1.1.tgz,@moss-labs/scw-connector,0.1.1,4.935362339104235,0.40609017828650545,0,1,1,0,0
lumoar-sdk-1.0.0.tgz,@rasadov/lumoar-sdk,1.0.0,4.871202656294987,0.31374722530305416,20,10,2,0,0
fluent-editor-1.0.1.tgz,@cairn214/fluent-editor,1.0.1,4.827516889445113,0.3525039147666584,2,2,2,2,0
miaoda-inspector-jsx-runtime-0.1.0-alpha.1.tgz,@lark-apaas/miaoda-inspector-jsx-runtime,0.1.0-alpha.1,4.968039691335448,0.4807846129684237,0,0,0,0,0
stocky-ser-lib-1.0.0.tgz,stocky-ser-lib,1.0.0,4.584320061272974,1.9050582635323956,4,1,1,0,0
telbiz-sdk-ts-1.0.0.tgz,telbiz-sdk-ts,1.0.0,4.709029601800822,0.46515256783310144,3,1,0,0,0
tripo-web-tools-1.0.0.tgz,tripo-web-tools,1.0.0,4.768754641266805,0.5560339234207163,10,1,0,0,0
redirect-cx4vm0-1.0.0.tgz,redirect-cx4vm0,1.0.0,4.840205098963937,0.33423223156474874,2,0,0,0,0
rwa-swap-core-0.1.0.tgz,@leapwallet/rwa-swap-core,0.1.0,4.755334992689911,0.11101438982195971,6,0,0,0,0
vue-cli-plugin-router-5.0.11.tgz,@gitee-code/vue-cli-plugin-router,5.0.11,4.807092061901882,0.2896193621999551,0,0,0,0,0
modal-module-kihak12-1.0.0.tgz,modal-module-kihak12,1.0.0,4.825179867930727,0.3745125920031507,2,0,0,0,0
redirect-dna9sd-1.0.0.tgz,redirect-dna9sd,1.0.0,6.591744885589801,1.5792164999183695,5,0,0,0,0
vue-0.18.0.tgz,@otmozorok/vue,0.18.0,4.510528771750094,0.31871222635915086,0,0,0,0,0
vue-cli-plugin-babel-5.0.11.tgz,@gitee-code/vue-cli-plugin-babel,5.0.11,5.101035967333242,0.9242552575676972,0,0,0,0,0
redirect-b9diha-1.0.0.tgz,redirect-b9diha,1.0.0,4.839233788768172,0.3356674917568712,2,0,0,0,0
ckeditor5-math-43.2.0.tgz,@kneive/ckeditor5-math,43.2.0,4.599584736388497,0.4340953406353336,1,1,1,1,0
gigawatt-testing-x-linux-arm64-musl-0.1.2.tgz,gigawatt-testing-x-linux-arm64-musl,0.1.2,5.646145452394611,1.026488527608587,1,0,0,0,0
gigawatt-testing-x-linux-x64-musl-0.1.2.tgz,gigawatt-testing-x-linux-x64-musl,0.1.2,5.571730192493689,0.962757337793021,1,0,0,0,0
slogencll-1.0.0.tgz,slogencll,1.0.0,5.033739198126106,0.9646428291309491,11,21,7,1,0
heimdall-react-state-0.1.0.tgz,@ikaru5/heimdall-react-state,0.1.0,4.631851826794093,0.2995274791028802,0,0,0,0,0
sso-offloading-connector-0.1.0.tgz,sso-offloading-connector,0.1.0,4.863671056575667,0.12027809195900772,6,0,0,0,0
chat-client-1.0.0.tgz,@theunforgivenone/chat-client,1.0.0,4.511759587084563,0.21971650542921964,0,0,0,0,0
git-file-id-0.1.0.tgz,@thinkeloquent/git-file-id,0.1.0,4.82286037051685,0.20361875811617564,0,0,0,0,0
apigen-template-openapi-1.0.0.tgz,@skalable-dev/apigen-template-openapi,1.0.0,4.5028835630320465,0.2795473970048119,0,1,0,0,0
axion-mcp-bridge-1.0.0.tgz,axion-mcp-bridge,1.0.0,4.959941060961632,0.275124715045638,0,1,0,0,0
jmw-0.0.0-alpha.0.tgz,jmw,0.0.0-alpha.0,5.03571347312881,0.362871888917702,6,0,2,0,0
saudi-regions-widget-2.0.0.tgz,saudi-regions-widget,2.0.0,4.660315645398607,0.6542059648598663,1,5,0,0,0
cabinet-server-1.5.0-dev.1.tgz,@async3619/cabinet-server,1.5.0-dev.1,3.42747324423976,1.9983909079907478,1,0,0,0,0
brave-real-browser-1.5.45.tgz,brave-real-browser,1.5.45,4.881074379599289,0.8504346575494475,8,0,0,0,0
reladb-2.0.9.tgz,@tiago_silva_pereira/reladb,2.0.9,4.607570321328866,0.22383186139826933,0,2,0,0,0
ai-assisted-template-0.4.1.tgz,ai-assisted-template,0.4.1,4.892888790521736,0.22513654336881891,230,27,30,1,0
bridge-vue3-0.0.3.tgz,@empjs/bridge-vue3,0.0.3,4.864007069442559,0.6070417707956367,0,0,0,0,0
ngx-serial-console-0.0.1.tgz,ngx-serial-console,0.0.1,4.7657331189998375,0.1158194194366679,0,0,0,0,0
prayer-times-calculation-1.0.0.tgz,@muslims-community/prayer-times-calculation,1.0.0,4.658192681081709,0.6079118266392752,0,0,0,0,0
singlespace-sdk-1.0.0.tgz,@singlespace/singlespace-sdk,1.0.0,4.509934712941867,0.3622631230145094,4,7,0,0,0
