tarball,package_name,package_version,entropy_average,entropy_std_dev,Sensitive Information Access,System Resources and Network Access,Cryptography and Encoding APIs,Dynamic Code Execution,Package Installation Risk
1337qq-js-1.0.10.tgz,1337qq-js,1.0.10,4.777649171715511,0.04021773279573981,0,0,0,0,1
1ru-cache-0.0.1.tgz,1ru-cache,0.0.1,4.877772042339192,0.11729813346922811,0,0,0,0,1
1ru-cache-0.0.2.tgz,1ru-cache,0.0.2,4.875169413355658,0.11646778290031841,0,0,0,0,1
1ru-cache-6.0.0.tgz,1ru-cache,6.0.0,4.8756404805934,0.11660559579945548,0,0,0,0,1
30-days-of-javascript-6.0.2.tgz,30-days-of-javascript,6.0.2,4.778805968136754,0.4641677681496841,1,3,1,0,0
33-js-concepts-6.0.2.tgz,33-js-concepts,6.0.2,4.773659788842535,0.46598822051274147,1,3,1,0,0
4equest-6.9.2.tgz,4equest,6.9.2,4.0857527518313645,1.5606594890348449,0,2,1,0,1
perf-ai-form-recognizer-99.10.9.tgz,@azure-tests/perf-ai-form-recognizer,99.10.9,4.930836449683612,0.29098952099476305,0,1,1,0,1
perf-ai-metrics-advisor-99.10.9.tgz,@azure-tests/perf-ai-metrics-advisor,99.10.9,4.924125479775126,0.2977004909032481,0,1,1,0,1
perf-ai-text-analytics-99.10.9.tgz,@azure-tests/perf-ai-text-analytics,99.10.9,4.9282693208025785,0.29355664987579644,0,1,1,0,1
perf-container-registry-99.10.9.tgz,@azure-tests/perf-container-registry,99.10.9,4.922583597259323,0.2992423734190517,0,1,1,0,1
perf-core-rest-pipeline-99.10.9.tgz,@azure-tests/perf-core-rest-pipeline,99.10.9,4.914531531344673,0.30729443933370115,0,1,1,0,1
perf-data-tables-99.10.9.tgz,@azure-tests/perf-data-tables,99.10.9,4.9245361338657645,0.29728983681261,0,1,1,0,1
perf-event-hubs-99.10.9.tgz,@azure-tests/perf-event-hubs,99.10.9,4.927943637253019,0.2938823334253553,0,1,1,0,1
perf-event-hubs-track-1-99.10.9.tgz,@azure-tests/perf-event-hubs-track-1,99.10.9,4.943353214761067,0.27847275591730813,0,1,1,0,1
perf-identity-99.10.9.tgz,@azure-tests/perf-identity,99.10.9,4.915581307462627,0.30624466321574806,0,1,1,0,1
perf-keyvault-certificates-99.10.9.tgz,@azure-tests/perf-keyvault-certificates,99.10.9,4.936557805941321,0.28526816473705363,0,1,1,0,1
perf-keyvault-keys-99.10.9.tgz,@azure-tests/perf-keyvault-keys,99.10.9,4.944228086293174,0.27759788438520117,0,1,1,0,1
perf-keyvault-secrets-99.10.9.tgz,@azure-tests/perf-keyvault-secrets,99.10.9,4.932808790193976,0.2890171804843993,0,1,1,0,1
perf-monitor-query-99.10.9.tgz,@azure-tests/perf-monitor-query,99.10.9,4.936369436330473,0.2854565343479023,0,1,1,0,1
perf-search-documents-99.10.9.tgz,@azure-tests/perf-search-documents,99.10.9,4.922586527245638,0.29923944343273634,0,1,1,0,1
perf-service-bus-99.10.9.tgz,@azure-tests/perf-service-bus,99.10.9,4.925992998056559,0.2958329726218163,0,1,1,0,1
perf-service-bus-track-1-99.10.9.tgz,@azure-tests/perf-service-bus-track-1,99.10.9,4.941078915229874,0.28074705544850076,0,1,1,0,1
perf-storage-blob-99.10.9.tgz,@azure-tests/perf-storage-blob,99.10.9,4.93560911893106,0.28621685174731537,0,1,1,0,1
perf-storage-blob-track-1-99.10.9.tgz,@azure-tests/perf-storage-blob-track-1,99.10.9,4.9503700752691,0.27145589540927517,0,1,1,0,1
perf-storage-file-datalake-99.10.9.tgz,@azure-tests/perf-storage-file-datalake,99.10.9,4.9323908889496595,0.28943508172871546,0,1,1,0,1
perf-storage-file-share-99.10.9.tgz,@azure-tests/perf-storage-file-share,99.10.9,4.924696671452811,0.29712929922556475,0,1,1,0,1
perf-storage-file-share-track-1-99.10.9.tgz,@azure-tests/perf-storage-file-share-track-1,99.10.9,4.938323060227938,0.2835029104504372,0,1,1,0,1
perf-template-99.10.9.tgz,@azure-tests/perf-template,99.10.9,4.91353247147379,0.30829349920458515,0,1,1,0,1
bootsantos-0.0.1.tgz,@bootsantos/bootsantos,0.0.1,4.718087016331143,0.0,0,0,0,0,1
dragula-99.10.10.tgz,@bynder-private/dragula,99.10.10,4.922880690032643,0.2817911286630741,0,1,1,0,1
persistgraphql-webpack-plugin-99.10.10.tgz,@bynder-private/persistgraphql-webpack-plugin,99.10.10,4.9661055753681,0.23856624332761722,0,1,1,0,1
client-99.10.11.tgz,@elektra-web/client,99.10.11,4.897920396322779,0.30449091725867206,0,1,1,0,1
gitlab-node-sdk-0.2.2.tgz,@olxbr/gitlab-node-sdk,0.2.2,4.099963215907379,1.1824796641854693,1,0,0,0,1
gitlab-node-sdk-0.2.3.tgz,@olxbr/gitlab-node-sdk,0.2.3,4.100660936095692,1.183227881261548,1,0,0,0,1
